/home/stephanie/mysql-server/build/runtime_output_directory/mysqld, Version: 8.0.36 (Source distribution). started with:
Tcp port: 13000  Unix socket: /home/stephanie/mysql-server/build/mysql-test/var/tmp/mysqld.1.sock
Time                 Id Command    Argument
2024-05-01T14:09:25.275151Z	    9 Query	SET GLOBAL general_log = 'ON'
2024-05-01T14:09:25.276313Z	    9 Query	call mtr.add_suppression("Unsafe statement written to the binary log using statement format since BINLOG_FORMAT = STATEMENT")
2024-05-01T14:09:25.475228Z	    9 Query	CREATE USER IF NOT EXISTS 'root'@'127.0.0.1'
2024-05-01T14:09:25.641914Z	    9 Query	CREATE USER IF NOT EXISTS 'root'@'::1'
2024-05-01T14:09:25.742817Z	    9 Query	GRANT ALL ON *.* TO 'root'@'127.0.0.1', 'root'@'::1' WITH GRANT OPTION
2024-05-01T14:09:26.011718Z	   10 Connect	root@127.0.0.1 on test using TCP/IP
2024-05-01T14:09:26.012983Z	   10 Quit	
2024-05-01T14:09:26.013553Z	    9 Query	DROP USER 'root'@'::1'
2024-05-01T14:09:26.175864Z	    9 Query	DROP USER 'root'@'127.0.0.1'
2024-05-01T14:09:26.356194Z	    9 Query	call mtr.add_suppression("Unsafe statement written to the binary log using statement format since BINLOG_FORMAT = STATEMENT")
2024-05-01T14:09:26.629175Z	    9 Query	CREATE USER IF NOT EXISTS 'root'@'127.0.0.1'
2024-05-01T14:09:26.755110Z	    9 Query	CREATE USER IF NOT EXISTS 'root'@'::1'
2024-05-01T14:09:26.955216Z	    9 Query	GRANT ALL ON *.* TO 'root'@'127.0.0.1', 'root'@'::1' WITH GRANT OPTION
2024-05-01T14:09:27.168614Z	    9 Query	SHOW GLOBAL STATUS LIKE 'Threads_connected'
2024-05-01T14:09:27.524712Z	   11 Connect	root@127.0.0.1 on  using SSL/TLS
2024-05-01T14:09:27.525906Z	   11 Quit	
2024-05-01T14:09:27.740974Z	   12 Connect	root@127.0.0.1 on  using SSL/TLS
2024-05-01T14:09:27.741312Z	   12 Init DB	test
2024-05-01T14:09:27.741607Z	   12 Query	SHOW /*!50002 FULL*/ TABLES
2024-05-01T14:09:27.744317Z	   12 Init DB	test
2024-05-01T14:09:27.744569Z	   12 Quit	
2024-05-01T14:09:27.934838Z	   13 Connect	root@127.0.0.1 on  using SSL/TLS
2024-05-01T14:09:27.935333Z	   13 Query	/*!40100 SET @@SQL_MODE='' */
2024-05-01T14:09:27.935747Z	   13 Query	/*!40103 SET TIME_ZONE='+00:00' */
2024-05-01T14:09:27.936168Z	   13 Query	/*!80000 SET SESSION information_schema_stats_expiry=0 */
2024-05-01T14:09:27.936548Z	   13 Query	SET SESSION NET_READ_TIMEOUT= 86400, SESSION NET_WRITE_TIMEOUT= 86400
2024-05-01T14:09:27.936984Z	   13 Query	SHOW VARIABLES LIKE 'gtid_mode'
2024-05-01T14:09:27.942709Z	   13 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE ENGINE = 'ndbcluster' AND FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IN (SELECT DISTINCT LOGFILE_GROUP_NAME FROM INFORMATION_SCHEMA.FILES WHERE ENGINE = 'ndbcluster' AND FILE_TYPE = 'DATAFILE' AND TABLESPACE_NAME IN (SELECT DISTINCT TABLESPACE_NAME FROM INFORMATION_SCHEMA.PARTITIONS WHERE TABLE_SCHEMA IN ('test'))) GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
